"","Country","Unit","Period","Value"
"1","United States","PC",2019 Q2,4.4
"2","United States","PC",2019 Q3,-1.26666666666667
"3","United States","PC",2019 Q4,-4.26666666666667
"4","United States","PC",2020 Q1,0.0666666666666666
"5","United States","PC",2020 Q2,-8.53333333333333
"6","United States","PC",2020 Q3,10.4
"7","Japan","PC",2019 Q2,3
"8","Japan","PC",2019 Q3,-1
"9","Japan","PC",2019 Q4,-4
"10","Japan","PC",2020 Q1,-12
"11","Japan","PC",2020 Q2,-39
"12","Japan","PC",2020 Q3,-37
"13","GBR","PC",2019 Q2,-8.63333333333333
"14","GBR","PC",2019 Q3,-17.5333333333333
"15","GBR","PC",2019 Q4,-18.5333333333333
"16","GBR","PC",2020 Q1,-17.9
"17","GBR","PC",2020 Q2,-42.2
"18","GBR","PC",2020 Q3,-24.7666666666667
"19","India","PC",2019 Q2,13.6666666666667
"20","India","PC",2019 Q3,8.33333333333334
"21","India","PC",2019 Q4,11.3333333333333
"22","India","PC",2020 Q1,-6
"23","India","PC",2020 Q2,8.66666666666666
"24","Brazil","PC",2019 Q2,-3.4
"25","Brazil","PC",2019 Q3,-4.36666666666667
"26","Brazil","PC",2019 Q4,-2.76666666666667
"27","Brazil","PC",2020 Q1,-0.0666666666666667
"28","Brazil","PC",2020 Q2,-34.2666666666667
"29","Brazil","PC",2020 Q3,-1.6
