"","Country","Unit","Period","Value"
"1","France","PC",2019 Q2,0.2546162126356
"2","France","PC",2019 Q3,0.167936514491405
"3","France","PC",2019 Q4,-0.227948906463649
"4","France","PC",2020 Q1,-5.945721659513
"5","France","PC",2020 Q2,-13.7295963477073
"6","France","PC",2020 Q3,18.2312575856596
"7","Germany","PC",2019 Q2,-0.503593061660945
"8","Germany","PC",2019 Q3,0.309311451763778
"9","Germany","PC",2019 Q4,-0.0186902521436554
"10","Germany","PC",2020 Q1,-1.89719348849871
"11","Germany","PC",2020 Q2,-9.79328107686389
"12","Germany","PC",2020 Q3,8.480305474188
"13","Japan","PC",2019 Q2,0.406960967617622
"14","Japan","PC",2019 Q3,0.0497851854572464
"15","Japan","PC",2019 Q4,-1.81380780986332
"16","Japan","PC",2020 Q1,-0.568257775850954
"17","Japan","PC",2020 Q2,-8.15622426255484
"18","Japan","PC",2020 Q3,4.95697538074157
"19","GBR","PC",2019 Q2,-0.0179235311943417
"20","GBR","PC",2019 Q3,0.325823197946373
"21","GBR","PC",2019 Q4,0.149395601764024
"22","GBR","PC",2020 Q1,-2.5226932026156
"23","GBR","PC",2020 Q2,-19.810925559015
"24","GBR","PC",2020 Q3,15.5070335700604
"25","United States","PC",2019 Q2,0.370716166833257
"26","United States","PC",2019 Q3,0.636914747006643
"27","United States","PC",2019 Q4,0.586231850138638
"28","United States","PC",2020 Q1,-1.26265460521651
"29","United States","PC",2020 Q2,-8.98611676869965
"30","United States","PC",2020 Q3,7.4034918977945
"31","Brazil","PC",2019 Q2,0.456123742772203
"32","Brazil","PC",2019 Q3,0.0588453270146178
"33","Brazil","PC",2019 Q4,0.533857960849141
"34","Brazil","PC",2020 Q1,-2.45486145226016
"35","Brazil","PC",2020 Q2,-9.69297547632488
"36","India","PC",2019 Q2,0.9054799889505
"37","India","PC",2019 Q3,0.836469227585655
"38","India","PC",2019 Q4,0.860955203202852
"39","India","PC",2020 Q1,0.658939586877879
"40","India","PC",2020 Q2,-25.2480979854535
"41","Russia","PC",2019 Q2,2.37118293044742
"42","Russia","PC",2019 Q3,-0.878903265941295
"43","Russia","PC",2019 Q4,-0.705263375927254
"44","Russia","PC",2020 Q1,-0.87954645900614
"45","Russia","PC",2020 Q2,-3.23763644760209
"46","France","PC",2019 Q2,1.82976508991133
"47","France","PC",2019 Q3,1.60377967707986
"48","France","PC",2019 Q4,0.746726890493941
"49","France","PC",2020 Q1,-5.76319312191216
"50","France","PC",2020 Q2,-18.9079996971637
"51","France","PC",2020 Q3,-4.28464926444821
"52","Germany","PC",2019 Q2,0.114937049986821
"53","Germany","PC",2019 Q3,0.755513226147959
"54","Germany","PC",2019 Q4,0.39641675300275
"55","Germany","PC",2020 Q1,-2.10761707278918
"56","Germany","PC",2020 Q2,-11.2475420654791
"57","Germany","PC",2020 Q3,-4.01794600143713
"58","Japan","PC",2019 Q2,0.869366401874599
"59","Japan","PC",2019 Q3,1.74510858780398
"60","Japan","PC",2019 Q4,-0.66501396332378
"61","Japan","PC",2020 Q1,-1.92564744340568
"62","Japan","PC",2020 Q2,-10.2898966864657
"63","Japan","PC",2020 Q3,-5.88984186793616
"64","GBR","PC",2019 Q2,1.30134421687198
"65","GBR","PC",2019 Q3,1.02879815977636
"66","GBR","PC",2019 Q4,1.01129273794086
"67","GBR","PC",2020 Q1,-2.07654271713342
"68","GBR","PC",2020 Q2,-21.4620091629689
"69","GBR","PC",2020 Q3,-9.5777133446562
"70","United States","PC",2019 Q2,1.96316329518912
"71","United States","PC",2019 Q3,2.07648052737908
"72","United States","PC",2019 Q4,2.33888487797042
"73","United States","PC",2020 Q1,0.319260644673168
"74","United States","PC",2020 Q2,-9.03277546621955
"75","United States","PC",2020 Q3,-2.91636436053056
"76","Brazil","PC",2019 Q2,1.44379799090061
"77","Brazil","PC",2019 Q3,0.691143859217443
"78","Brazil","PC",2019 Q4,1.6210774264072
"79","Brazil","PC",2020 Q1,-1.42883674164475
"80","Brazil","PC",2020 Q2,-11.3874980833118
"81","India","PC",2019 Q2,4.98024013245314
"82","India","PC",2019 Q3,4.39893527941619
"83","India","PC",2019 Q4,4.07719399047113
"84","India","PC",2020 Q1,3.30178140941051
"85","India","PC",2020 Q2,-23.4728912375231
"86","Russia","PC",2019 Q2,2.70491794360873
"87","Russia","PC",2019 Q3,1.42982139668937
"88","Russia","PC",2019 Q4,0.28363820428196
"89","Russia","PC",2020 Q1,-0.130395694577852
"90","Russia","PC",2020 Q2,-5.60215596804234
"91","OECD","PC",2019 Q2,1.51606196874495
"92","OECD","PC",2019 Q3,1.72083968645362
"93","OECD","PC",2019 Q4,1.64356296850654
"94","OECD","PC",2020 Q1,-0.859251270659307
"95","OECD","PC",2020 Q2,-11.676450608766
"96","OECD","PC",2020 Q3,-4.1
"97","OECD","PC",2019 Q2,0.394038364865849
"98","OECD","PC",2019 Q3,0.427320847118972
"99","OECD","PC",2019 Q4,0.19014593059886
"100","OECD","PC",2020 Q1,-1.8551796952014
"101","OECD","PC",2020 Q2,-10.5599068016678
"102","OECD","PC",2020 Q3,9
