"","Country","Unit","Period","Value"
"1","France","PC",2019 Q2,0.198380955428301
"2","France","PC",2019 Q3,-0.97397413380169
"3","France","PC",2019 Q4,-0.812641083521462
"4","France","PC",2020 Q1,-5.83262890955198
"5","France","PC",2020 Q2,-17.0349399254247
"6","France","PC",2020 Q3,20.1290054099043
"7","Germany","PC",2019 Q2,-1.92307692307691
"8","Germany","PC",2019 Q3,-0.816993464052328
"9","Germany","PC",2019 Q4,-1.71334431630971
"10","Germany","PC",2020 Q1,-1.97787462286289
"11","Germany","PC",2020 Q2,-18.7756497948016
"12","Germany","PC",2020 Q3,14.6526315789474
"13","Japan","PC",2019 Q2,0.064977257959751
"14","Japan","PC",2019 Q3,-1.03896103896105
"15","Japan","PC",2019 Q4,-3.60892388451444
"16","Japan","PC",2020 Q1,0.408441116405724
"17","Japan","PC",2020 Q2,-15.8983050847458
"18","Japan","PC",2020 Q3,8.34340991535673
"19","United States","PC",2019 Q2,-0.567793499385339
"20","United States","PC",2019 Q3,0.280739167846852
"21","United States","PC",2019 Q4,0.0933278930124252
"22","United States","PC",2020 Q1,-1.73866089070132
"23","United States","PC",2020 Q2,-13.0255365891112
"24","United States","PC",2020 Q3,9.04516173584695
"25","Brazil","PC",2019 Q2,-0.343511450381689
"26","Brazil","PC",2019 Q3,-0.612792033703558
"27","Brazil","PC",2019 Q4,0.80924855491329
"28","Brazil","PC",2020 Q1,-2.37003058103977
"29","Brazil","PC",2020 Q2,-17.4628034455755
"30","Brazil","PC",2020 Q3,22.2960151802656
"31","Russia","PC",2019 Q2,1.12359550561797
"32","Russia","PC",2019 Q3,0.631313131313139
"33","Russia","PC",2019 Q4,0.376411543287328
"34","Russia","PC",2020 Q1,-0.249999999999988
"35","Russia","PC",2020 Q2,-7.06766917293236
"36","Russia","PC",2020 Q3,1.99568500539375
"37","France","PC",2019 Q2,1.75467099918766
"38","France","PC",2019 Q3,-0.148119526017505
"39","France","PC",2019 Q4,-0.82863130743189
"40","France","PC",2020 Q1,-7.32409688669887
"41","France","PC",2020 Q2,-23.2636116876896
"42","France","PC",2020 Q3,-6.91067397613673
"43","Germany","PC",2019 Q2,-4.79153702551335
"44","Germany","PC",2019 Q3,-4.19823232323234
"45","Germany","PC",2019 Q4,-5.06047103755572
"46","Germany","PC",2020 Q1,-6.28205128205129
"47","Germany","PC",2020 Q2,-22.3856209150327
"48","Germany","PC",2020 Q3,-10.2800658978583
"49","Japan","PC",2019 Q2,-1.43999999999998
"50","Japan","PC",2019 Q3,-1.89893788220146
"51","Japan","PC",2019 Q4,-6.37348629700444
"52","Japan","PC",2020 Q1,-4.15854450942168
"53","Japan","PC",2020 Q2,-19.448051948052
"54","Japan","PC",2020 Q3,-11.8110236220472
"55","GBR","PC",2019 Q2,-1.29913391072618
"56","GBR","PC",2019 Q3,-2.09163346613546
"57","GBR","PC",2019 Q4,-1.14362596703665
"58","GBR","PC",2020 Q1,-4.19301164725458
"59","GBR","PC",2020 Q2,-18.6972662841714
"60","GBR","PC",2020 Q3,-6.64632078670737
"61","United States","PC",2019 Q2,1.15385957797347
"62","United States","PC",2019 Q3,0.170961548139952
"63","United States","PC",2019 Q4,-0.681713532268922
"64","United States","PC",2020 Q1,-1.93085009322551
"65","United States","PC",2020 Q2,-14.2178174407605
"66","United States","PC",2020 Q3,-6.72055223317053
"67","Brazil","PC",2019 Q2,0.307337687283902
"68","Brazil","PC",2019 Q3,-2.11241041116559
"69","Brazil","PC",2019 Q4,-0.532319391634978
"70","Brazil","PC",2020 Q1,-2.51908396946567
"71","Brazil","PC",2020 Q2,-19.2646495595557
"72","Brazil","PC",2020 Q3,-0.655105973025045
"73","Russia","PC",2019 Q2,3.31333159405165
"74","Russia","PC",2019 Q3,3.85718008861089
"75","Russia","PC",2019 Q4,2.69576379974327
"76","Russia","PC",2020 Q1,1.88968335035752
"77","Russia","PC",2020 Q2,-6.36363636363638
"78","Russia","PC",2020 Q3,-5.09410288582184
"79","OECD","PC",2019 Q2,-0.156473899777952
"80","OECD","PC",2019 Q3,-0.545384851929714
"81","OECD","PC",2019 Q4,-1.11615516898758
"82","OECD","PC",2020 Q1,-2.37823921048875
"83","OECD","PC",2020 Q2,-15.9843588355215
"84","OECD","PC",2020 Q3,-5.49714664056546
"85","OECD","PC",2019 Q2,-0.104892147574621
"86","OECD","PC",2019 Q3,-0.117705431966226
"87","OECD","PC",2019 Q4,-0.593307186844311
"88","OECD","PC",2020 Q1,-1.57661881361446
"89","OECD","PC",2020 Q2,-14.027861538859
"90","OECD","PC",2020 Q3,12.3500541796447
