Country;Unit;Period;Value
France;PC;2019 Q2;0.179096840220035
France;PC;2019 Q3;-1.04392797854681
France;PC;2019 Q4;-0.767816240281308
France;PC;2020 Q1;-5.74140901849866
France;PC;2020 Q2;-17.0558410650847
France;PC;2020 Q3;20.0723552894212
Germany;PC;2019 Q2;-1.92307692307691
Germany;PC;2019 Q3;-0.816993464052328
Germany;PC;2019 Q4;-1.71334431630971
Germany;PC;2020 Q1;-1.97787462286289
Germany;PC;2020 Q2;-18.7756497948016
Germany;PC;2020 Q3;14.778947368421
Japan;PC;2019 Q2;0.064977257959751
Japan;PC;2019 Q3;-1.03896103896105
Japan;PC;2019 Q4;-3.60892388451444
Japan;PC;2020 Q1;0.408441116405724
Japan;PC;2020 Q2;-15.8983050847458
Japan;PC;2020 Q3;8.30310358726322
United States;PC;2019 Q2;-0.567793499385339
United States;PC;2019 Q3;0.280739167846852
United States;PC;2019 Q4;0.0933278930124252
United States;PC;2020 Q1;-1.73866089070132
United States;PC;2020 Q2;-12.964020170698
United States;PC;2020 Q3;9.25770731585855
Brazil;PC;2019 Q2;-0.419687142312104
Brazil;PC;2019 Q3;-0.727969348659
Brazil;PC;2019 Q4;1.11925897336935
Brazil;PC;2020 Q1;-2.48091603053434
Brazil;PC;2020 Q2;-17.4951076320939
Brazil;PC;2020 Q3;22.2011385199241
OECD;PC;2019 Q2;-0.0898900809251358
OECD;PC;2019 Q3;-0.128321616388579
OECD;PC;2019 Q4;-0.622483607757396
OECD;PC;2020 Q1;-1.56832330769867
OECD;PC;2020 Q2;-13.9641765715103
OECD;PC;2020 Q3;12.2834939433852
