"","Name","Description","Unit","Period","Value"
"Agriculture, Forestry And Fishing.550","Agriculture, Forestry And Fishing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,-4.9
"Agriculture, Forestry And Fishing.551","Agriculture, Forestry And Fishing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,-4.5
"Agriculture, Forestry And Fishing.552","Agriculture, Forestry And Fishing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-7.6
"Agriculture, Forestry And Fishing.553","Agriculture, Forestry And Fishing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,35.9
"Agriculture, Forestry And Fishing.554","Agriculture, Forestry And Fishing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,19.6
"Agriculture, Forestry And Fishing.555","Agriculture, Forestry And Fishing","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,18.5
"Construction.550","Construction","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,-2.4
"Construction.551","Construction","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,-6.9
"Construction.552","Construction","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-5.9
"Construction.553","Construction","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,-4.7
"Construction.554","Construction","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-76.5
"Construction.555","Construction","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,71.1
"Electricity, Gas And Water.550","Electricity, Gas And Water","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,3.2
"Electricity, Gas And Water.551","Electricity, Gas And Water","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,-4.9
"Electricity, Gas And Water.552","Electricity, Gas And Water","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,-4
"Electricity, Gas And Water.553","Electricity, Gas And Water","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,-5.6
"Electricity, Gas And Water.554","Electricity, Gas And Water","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q2,-36.4
"Electricity, Gas And Water.555","Electricity, Gas And Water","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q3,58
"Finance, Real Estate And Business Services.550","Finance, Real Estate And Business Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q2,4.1
"Finance, Real Estate And Business Services.551","Finance, Real Estate And Business Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q3,1.6
"Finance, Real Estate And Business Services.552","Finance, Real Estate And Business Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2019 Q4,2.7
"Finance, Real Estate And Business Services.553","Finance, Real Estate And Business Services","Constant 2010 Prices, Seasonally Adjusted","Annualised Percentage Change",2020 Q1,3.7
