"","Sector","Measure","Period","value"
"1"," Population Age 15-64","% Change (Year on Year)",2019 Q4,1.56
"2"," Population Age 15-64","% Change (Year on Year)",2020 Q1,1.54
"3"," Population Age 15-64","% Change (Year on Year)",2020 Q2,1.53
"4"," Population Age 15-64","% Change (Year on Year)",2020 Q3,1.52
"5"," Labour force","% Change (Year on Year)",2019 Q4,2.11
"6"," Labour force","% Change (Year on Year)",2020 Q1,4.27
"7"," Labour force","% Change (Year on Year)",2020 Q2,-19.7
"8"," Labour force","% Change (Year on Year)",2020 Q3,-8.16
"9"," Employed","% Change (Year on Year)",2019 Q4,-0.66
"10"," Employed","% Change (Year on Year)",2020 Q1,0.56
"11"," Employed","% Change (Year on Year)",2020 Q2,-13.27
"12"," Employed","% Change (Year on Year)",2020 Q3,-10.28
"13"," Formal sector (non-agricultural)","% Change (Year on Year)",2019 Q4,-0.13
"14"," Formal sector (non-agricultural)","% Change (Year on Year)",2020 Q1,0.55
"15"," Formal sector (non-agricultural)","% Change (Year on Year)",2020 Q2,-9.92
"16"," Formal sector (non-agricultural)","% Change (Year on Year)",2020 Q3,-8.1
"17"," Informal sector (non-agricultural)","% Change (Year on Year)",2019 Q4,-2.78
"18"," Informal sector (non-agricultural)","% Change (Year on Year)",2020 Q1,-0.43
"19"," Informal sector (non-agricultural)","% Change (Year on Year)",2020 Q2,-25.18
"20"," Informal sector (non-agricultural)","% Change (Year on Year)",2020 Q3,-17.99
"21"," Unemployed","% Change (Year on Year)",2019 Q4,9.56
"22"," Unemployed","% Change (Year on Year)",2020 Q1,14.01
"23"," Unemployed","% Change (Year on Year)",2020 Q2,-35.47
"24"," Unemployed","% Change (Year on Year)",2020 Q3,-2.98
"25"," Not economically active","% Change (Year on Year)",2019 Q4,0.75
"26"," Not economically active","% Change (Year on Year)",2020 Q1,-2.34
"27"," Not economically active","% Change (Year on Year)",2020 Q2,33.06
"28"," Not economically active","% Change (Year on Year)",2020 Q3,15.96
"29"," Not economically active - Discouraged job seeker","% Change (Year on Year)",2019 Q4,0.5
"30"," Not economically active - Discouraged job seeker","% Change (Year on Year)",2020 Q1,-2.65
"31"," Not economically active - Discouraged job seeker","% Change (Year on Year)",2020 Q2,-10.12
"32"," Not economically active - Discouraged job seeker","% Change (Year on Year)",2020 Q3,-3.47
"33"," Unemployment rate","Percent",2019 Q4,29.1
"34"," Unemployment rate","Percent",2020 Q1,30.1
"35"," Unemployment rate","Percent",2020 Q2,23.3
"36"," Unemployment rate","Percent",2020 Q3,30.8
"37"," Unemployment rate","% Change (Year on Year)",2019 Q4,7.38
"38"," Unemployment rate","% Change (Year on Year)",2020 Q1,9.06
"39"," Unemployment rate","% Change (Year on Year)",2020 Q2,-19.66
"40"," Unemployment rate","% Change (Year on Year)",2020 Q3,5.84
"41"," Employed / population ratio (Absorption)","Percent",2019 Q4,42.4
"42"," Employed / population ratio (Absorption)","Percent",2020 Q1,42.1
"43"," Employed / population ratio (Absorption)","Percent",2020 Q2,36.3
"44"," Employed / population ratio (Absorption)","Percent",2020 Q3,37.5
"45"," Employed / population ratio (Absorption)","% Change (Year on Year)",2019 Q4,-2.08
"46"," Employed / population ratio (Absorption)","% Change (Year on Year)",2020 Q1,-1.17
"47"," Employed / population ratio (Absorption)","% Change (Year on Year)",2020 Q2,-14.39
"48"," Employed / population ratio (Absorption)","% Change (Year on Year)",2020 Q3,-11.56
